"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"전기차 충전소";"중문동주민센터";"제주특별자치도 서귀포시 1100로 30";"";126.433635;33.253332
"전기차 충전소";"중문메리디안";"제주특별자치도 서귀포시 1100로 36";"";126.435636;33.253637
"전기차 충전소";"WE호텔(한라의료재단)";"제주특별자치도 서귀포시 1100로 453-95";"";126.443819;33.286575
"전기차 충전소";"WE호텔(한라의료재단)";"제주특별자치도 서귀포시 1100로 453-95";"";126.443819;33.286575
"전기차 충전소";"중문제일행복한 홈스쿨지역아동센터";"제주특별자치도 서귀포시 1100로49번길 11 (중문동)";"";126.433266;33.254157
"전기차 충전소";"모이라펜션";"제주특별자치도 서귀포시 516로 296";"";126.587154;33.279064
"전기차 충전소";"빅토르투자개발";"제주특별자치도 서귀포시 516로277번길 45";"";126.581066;33.279833
"전기차 충전소";"꿈꾸는 노마드";"제주특별자치도 서귀포시 강정동 1026-1";"";126.499656;33.241686
"전기차 충전소";"비전지역아동센터";"제주특별자치도 서귀포시 강정동 1514";"";126.500903;33.262294
"전기차 충전소";"뉴월드 골프타운";"제주특별자치도 서귀포시 강정동 1531";"";126.506956;33.262295
"전기차 충전소";"라마다제주서귀포호텔";"제주특별자치도 서귀포시 강정동 173-3";"";126.507583;33.25252
"전기차 충전소";"명성레져개발";"제주특별자치도 서귀포시 강정동 1938";"";126.494487;33.257789
"전기차 충전소";"에띠에호스텔";"제주특별자치도 서귀포시 강정동 2503-1";"";126.494111;33.235317
"전기차 충전소";"강정보건지소";"제주특별자치도 서귀포시 강정통물로 125-11";"";126.477227;33.237609
"전기차 충전소";"호텔 빠레브 주식회사";"제주특별자치도 서귀포시 김정문화로 15";"";126.506663;33.252391
"전기차 충전소";"풍경호스텔";"제주특별자치도 서귀포시 남성로 117";"";126.552863;33.242371
"전기차 충전소";"주식회사 선샤인";"제주특별자치도 서귀포시 남성중로 135";"";126.553307;33.24344
"전기차 충전소";"풍경호텔";"제주특별자치도 서귀포시 남성중로 147";"";126.553412;33.244848
"전기차 충전소";"천지연폭포 주차장";"제주특별자치도 서귀포시 남성중로 2-15(서홍동)";"";126.559584;33.244721
"전기차 충전소";"천지연폭포 주차장";"제주특별자치도 서귀포시 남성중로 2-15(서홍동)";"";126.559584;33.244721
"전기차 충전소";"삼매봉도서관";"제주특별자치도 서귀포시 남성중로153번길 15";"";126.551688;33.244665
"전기차 충전소";"삼매봉도서관";"제주특별자치도 서귀포시 남성중로153번길 15";"";126.551688;33.244665
"전기차 충전소";"대발이파크";"제주특별자치도 서귀포시 남원읍 남원리 2380";"";126.704515;33.274464
"전기차 충전소";"신영영화박물관 주차장";"제주특별자치도 서귀포시 남원읍 남원리 2381";"";126.700729;33.272811
"전기차 충전소";"뜨리바다펜션";"제주특별자치도 서귀포시 남원읍 남원리 2397";"";126.699682;33.271754
"전기차 충전소";"남원읍 공영주차장";"제주특별자치도 서귀포시 남원읍 남원리 84-2";"";126.721368;33.278813
"전기차 충전소";"남원1리마을회";"제주특별자치도 서귀포시 남원읍 남원회관로 27";"";126.716069;33.277812
"전기차 충전소";"남원하나로마트";"제주특별자치도 서귀포시 남원읍 남조로 52";"";126.721652;33.284343
"전기차 충전소";"지중해리조트";"제주특별자치도 서귀포시 남원읍 남태해안로 445";"";126.746836;33.282913
"전기차 충전소";"한남리마을회";"제주특별자치도 서귀포시 남원읍 남한로 431";"";126.695145;33.311928
"전기차 충전소";"태흥3리마을회";"제주특별자치도 서귀포시 남원읍 삼덕로 3";"";126.758621;33.293617
"전기차 충전소";"백통신원 기린산장";"제주특별자치도 서귀포시 남원읍 서성로 427";"";126.641303;33.322323
