"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"숙박";"해피펜션";"제주특별자치도 제주시 외도2동 317-1";"제주특별자치도 제주시 월대1길 4";33.49411;126.43378
"숙박";"빠담빠담게스트하우스";"제주특별자치도 서귀포시 표선면 표선리 2093";"제주특별자치도 서귀포시 표선면 돈오름로 198-4";33.329624;126.81827
"숙박";"골든튤립호텔";"제주특별자치도 제주시 조천읍 함덕리 1269-19";"제주특별자치도 제주시 조천읍 조함해안로 504";33.54239;126.66692
"숙박";"쇠소깍올레민박";"제주특별자치도 서귀포시 하효동 236-2";"제주특별자치도 서귀포시 효돈로204번길 23";33.2623726;126.6188522
"숙박";"제주필하우스";"제주특별자치도 제주시 조천읍 북촌리 1586-1";"제주특별자치도 제주시 조천읍 일주동로 1415";33.545048;126.68642
"숙박";"라메종베니 두지엠";"제주특별자치도 서귀포시 성산읍 환해장성로 925";"제주특별자치도 서귀포시 성산읍 환해장성로 925";33.43353;126.915726
"숙박";"로즈비치";"제주특별자치도 제주시 조천읍 신흥리 874";"제주특별자치도 제주시 조천읍 조함해안로 162";33.5447774;126.650164
"숙박";"비비엔다";"제주특별자치도 제주시 구좌읍 세화리 18";"제주특별자치도 제주시 구좌읍 세화11길 18";33.522514;126.86111
"숙박";"동막골게스트하우스";"제주특별자치도 서귀포시 안덕면 덕수리 190";"제주특별자치도 서귀포시 안덕면 서광서문로 55-7";33.28357;126.323204
"숙박";"제주베스트힐 펜션&글램핑";"제주특별자치도 제주시 조천읍 교래리 786-31";"제주특별자치도 제주시 조천읍 남조로 2109-36";33.4276176;126.6665803
"숙박";"비오하우스";"제주특별자치도 제주시 구좌읍 월정리 567-1";"제주특별자치도 제주시 구좌읍 월정3길 53-5";33.55612;126.79461
"숙박";"오름게스트하우스";"제주특별자치도 제주시 구좌읍 세화리 1758-41";"제주특별자치도 제주시 구좌읍 충렬로 147-19";33.50991;126.84661
"숙박";"펜션 에덴호스텔";"제주특별자치도 제주시 용담3동 2382";"제주특별자치도 제주시 서해안로 456-12";33.5184357;126.4893095
