"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"관광지";"공천포";"제주특별자치도 서귀포시 남원읍 신례리";"제주특별자치도 서귀포시 남원읍 신례리";33.26769;126.645996
"관광지";"제주민속촌";"제주특별자치도 서귀포시 표선면 민속해안로 631-34";"제주특별자치도 서귀포시 표선면 민속해안로 631-34";33.32226;126.84201
"관광지";"제주빅볼랜드";"제주특별자치도 제주시 애월읍 어음리 산 3";"제주특별자치도 제주시 애월읍 산록서로 15";33.3659432;126.35644
"관광지";"마오름(맞보기)(안덕)";"제주특별자치도 서귀포시 안덕면 산록남로";"제주특별자치도 서귀포시 안덕면 산록남로";33.325733;126.40013
"관광지";"과오름(큰오름, 샛오름, 말젯오름)";"제주특별자치도 제주시 애월읍 곽지리 산 1";"제주특별자치도 제주시 애월읍 곽지리 산 1";33.44657762;126.3238801
"관광지";"제주월드21(철거)";"제주특별자치도 제주시 건입동 1442";"제주특별자치도 제주시 임항로 17";33.51673;126.52715
"관광지";"신양해안도로";"제주특별자치도 서귀포시 성산읍 신고로";"제주특별자치도 서귀포시 성산읍 신고로";33.431046;126.91553
"관광지";"너븐숭이 4.3기념관";"제주특별자치도 제주시 조천읍 북촌리 1599";"제주특별자치도 제주시 조천읍 북촌3길 3";33.545986;126.68877
"관광지";"백약이오름";"제주특별자치도 서귀포시 표선면 성읍리 산 1";"제주특별자치도 서귀포시 표선면 성읍리 산 1";33.437283;126.79018
"관광지";"디스커버제주";"제주특별자치도 서귀포시 대포동 760-3";"제주특별자치도 서귀포시 대포로 26";33.2435151;126.4352216
"관광지";"광이오름 (괭이오름, 肝列岳)";"제주특별자치도 제주시 연동 산 62";"제주특별자치도 제주시 연동 산 62";33.46847099;126.4950638
"관광지";"오름터 민속마을";"제주특별자치도 서귀포시 표선면 성읍리 599-1";"제주특별자치도 서귀포시 표선면 성읍정의현로 99";33.391445;126.80072
